record_id,category,has_recovery_pattern
156,navigation,False
157,other,False
158,navigation,True
159,navigation,True
160,other,False
161,navigation,False
162,navigation,False
163,navigation,True
164,navigation,True
165,navigation,True
166,navigation,True
167,manipulation,False
168,other,True
169,navigation,False
170,navigation,False
171,other,False
172,navigation,False
173,navigation,False
174,navigation,False
175,navigation,False
176,navigation,False
177,navigation,False
178,other,False
179,navigation,False
180,other,False
181,manipulation,True
182,navigation,True
183,navigation,False
184,navigation,True
185,navigation,True
186,navigation,True
187,other,False
188,perception,False
189,perception,False
190,navigation,False
191,navigation,False
192,navigation,True
193,other,False
194,navigation,False
195,navigation,True
196,navigation,False
197,navigation,True
198,navigation,False
199,other,False
200,other,True
201,other,False
202,other,True
203,other,False
204,navigation,False
205,navigation,True
206,manipulation,True
207,navigation,False
208,navigation,False
209,manipulation,False
210,navigation,True
211,navigation,False
212,other,False
213,navigation,False
214,other,False
215,other,False
216,exploration,False
217,navigation,True
218,navigation,True
219,navigation,True
220,manipulation,False
221,other,False
222,navigation,False
223,navigation,False
224,navigation,False
225,manipulation,True
226,other,False
227,other,False
228,other,False
229,navigation,True
230,navigation,True
231,navigation,False
232,navigation,False
233,navigation,True
234,navigation,True
235,navigation,True
236,manipulation,False
237,navigation,False
238,navigation,False
239,navigation,True
240,navigation,True
241,navigation,True
242,navigation,True
243,navigation,True
244,navigation,True
245,navigation,False
246,navigation,False
247,navigation,True
248,navigation,True
249,navigation,True
250,navigation,False
251,navigation,True
252,manipulation,False
253,navigation,False
254,navigation,False
255,navigation,False
256,navigation,False
257,navigation,False
258,navigation,False
259,navigation,False
260,navigation,True
261,other,False
262,navigation,False
263,navigation,False
264,navigation,False
265,manipulation,False
266,other,False
267,navigation,False
268,other,False
269,navigation,True
270,navigation,False
271,navigation,False
272,other,False
273,navigation,False
274,navigation,True
275,navigation,True
276,navigation,True
277,navigation,False
278,other,False
279,navigation,True
280,perception,False
281,navigation,False
282,navigation,False
283,navigation,False
284,navigation,True
285,manipulation,False
286,navigation,False
287,navigation,False
288,navigation,True
289,other,False
290,navigation,False
291,navigation,False
292,perception,False
293,navigation,True
294,other,False
295,other,False
296,navigation,False
297,other,True
298,navigation,False
299,navigation,False
300,other,True
301,navigation,False
302,navigation,False
303,navigation,False
304,navigation,False
305,other,False
306,navigation,False
307,other,False
308,navigation,False
309,other,True
310,other,False
311,navigation,False
312,navigation,True
313,other,False
314,navigation,False
315,navigation,True
316,navigation,True
317,navigation,True
318,navigation,False
319,navigation,True
320,other,False
321,navigation,False
322,navigation,False
323,navigation,True
324,navigation,True
325,navigation,False
326,perception,False
327,navigation,True
328,navigation,False
329,navigation,True
330,navigation,True
331,navigation,True
332,navigation,True
333,navigation,False
334,navigation,True
335,navigation,False
336,navigation,False
337,navigation,False
338,manipulation,False
339,navigation,False
340,navigation,True
341,manipulation,False
342,navigation,False
343,navigation,False
344,manipulation,False
345,other,False
346,other,False
347,manipulation,True
348,navigation,False
349,navigation,False
350,manipulation,False
351,navigation,False
352,navigation,True
353,manipulation,True
354,manipulation,False
355,navigation,False
356,navigation,False
357,navigation,False
358,navigation,False
359,other,True
360,navigation,False
361,other,False
362,navigation,False
363,navigation,True
364,navigation,True
365,navigation,True
366,navigation,False
367,navigation,False
368,navigation,False
369,navigation,True
370,navigation,False
371,navigation,False
372,other,False
373,navigation,True
374,navigation,False
375,navigation,False
376,navigation,False
377,navigation,False
378,other,True
379,navigation,False
380,other,False
381,navigation,True
382,navigation,True
383,navigation,False
384,navigation,False
385,navigation,False
386,navigation,False
387,navigation,False
388,navigation,True
389,navigation,False
390,navigation,True
391,navigation,True
392,navigation,False
393,navigation,True
394,navigation,True
395,manipulation,True
396,navigation,False
397,navigation,True
398,navigation,True
399,navigation,False
400,navigation,False
401,perception,False
402,navigation,False
403,other,False
404,navigation,False
405,navigation,True
406,navigation,True
407,navigation,True
408,navigation,True
409,navigation,True
410,navigation,True
411,navigation,False
412,navigation,False
413,other,False
414,navigation,True
415,other,False
416,navigation,False
417,navigation,True
418,navigation,True
419,navigation,False
420,navigation,True
421,navigation,True
422,manipulation,False
423,navigation,False
424,navigation,True
425,navigation,False
426,navigation,False
427,navigation,False
428,navigation,True
429,navigation,False
430,navigation,True
431,navigation,False
432,exploration,True
433,other,True
434,navigation,True
435,navigation,True
436,navigation,True
437,other,False
438,navigation,False
439,perception,True
440,perception,True
441,navigation,False
442,navigation,True
443,navigation,False
444,navigation,False
445,navigation,True
446,other,True
447,navigation,False
448,navigation,False
449,navigation,False
450,navigation,True
451,navigation,True
452,navigation,False
453,manipulation,False
454,manipulation,False
455,navigation,True
456,navigation,True
457,navigation,True
458,manipulation,False
459,navigation,False
460,other,False
461,navigation,False
462,navigation,True
463,manipulation,True
464,navigation,False
465,navigation,False
466,navigation,True
467,navigation,True
468,navigation,True
469,other,False
470,navigation,False
471,navigation,True
472,navigation,True
473,navigation,True
474,navigation,True
475,navigation,True
476,navigation,False
477,navigation,False
478,navigation,False
479,navigation,False
480,navigation,True
481,other,False
482,navigation,False
483,navigation,False
484,manipulation,False
485,manipulation,False
486,manipulation,False
487,navigation,True
488,other,False
489,other,False
490,navigation,False
491,other,False
492,navigation,True
493,navigation,True
494,navigation,True
495,navigation,True
496,navigation,False
497,navigation,True
498,navigation,True
499,navigation,True
500,navigation,True
501,navigation,True
502,navigation,True
503,other,False
504,navigation,False
505,navigation,True
506,navigation,True
507,perception,False
508,navigation,False
509,navigation,False
510,navigation,True
511,navigation,False
512,navigation,False
513,other,False
514,navigation,False
515,navigation,True
516,other,False
517,navigation,True
518,navigation,True
519,navigation,False
520,navigation,False
521,navigation,True
522,manipulation,False
523,navigation,True
524,navigation,False
525,navigation,True
526,navigation,False
527,navigation,False
528,navigation,False
529,manipulation,False
530,navigation,True
531,navigation,False
532,manipulation,True
533,navigation,True
534,manipulation,True
535,navigation,True
536,navigation,True
537,navigation,False
538,navigation,True
539,other,False
540,navigation,False
541,other,False
542,navigation,True
543,navigation,False
544,navigation,False
545,other,False
546,other,False
547,manipulation,True
548,manipulation,False
549,navigation,True
550,navigation,True
551,navigation,False
552,navigation,False
553,navigation,True
554,navigation,False
555,other,False
556,navigation,True
557,manipulation,False
558,navigation,True
559,navigation,True
560,navigation,False
561,navigation,False
562,navigation,False
563,navigation,False
564,navigation,True
565,navigation,True
566,navigation,False
567,navigation,True
568,navigation,False
569,navigation,False
570,navigation,False
571,other,False
572,navigation,True
573,navigation,False
574,navigation,False
575,manipulation,False
576,manipulation,False
577,navigation,False
578,navigation,False
579,navigation,False
580,navigation,False
581,perception,False
582,navigation,True
583,navigation,False
584,navigation,False
585,navigation,False
586,navigation,True
587,navigation,False
588,navigation,True
589,navigation,False
590,manipulation,True
591,navigation,False
592,navigation,False
593,other,True
